"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","sales","salary"
"9571",0.6,0.59,5,146,4,0,0,0,"accounting","low"
"12021",0.11,0.83,6,282,4,0,1,0,"sales","low"
"8870",0.91,0.5,4,231,3,0,0,0,"sales","high"
"13444",0.65,0.85,4,201,10,0,0,0,"support","low"
"12079",0.43,0.56,2,157,3,0,1,0,"sales","low"
"14466",0.6,0.92,2,258,5,0,1,0,"sales","low"
"6107",0.61,0.52,4,171,2,0,0,0,"marketing","low"
"10945",0.62,0.51,4,193,3,0,0,0,"accounting","high"
"6932",0.61,0.67,3,188,5,0,0,0,"IT","low"
"7553",0.37,0.71,2,139,4,0,0,0,"RandD","high"
"11135",0.75,0.85,3,250,6,0,0,0,"technical","medium"
"7480",0.65,0.97,3,198,3,0,0,0,"RandD","low"
"11950",0.71,0.66,3,268,4,0,0,0,"marketing","high"
"13788",0.97,0.51,5,215,7,0,0,0,"management","high"
"9777",0.56,0.57,2,112,4,0,0,0,"management","medium"
"719",0.91,1,5,244,6,0,1,0,"hr","low"
"12171",0.81,0.99,4,259,5,0,1,0,"sales","low"
"13248",0.3,0.58,2,189,4,1,0,0,"accounting","low"
"6405",0.54,0.57,3,257,2,0,0,0,"IT","medium"
"13560",0.14,0.76,4,142,10,0,0,0,"management","high"
"14257",0.84,0.74,3,182,4,0,1,0,"technical","low"
"7103",0.66,0.49,4,194,5,0,0,0,"accounting","medium"
"14100",0.7,0.54,3,194,2,1,0,0,"IT","low"
"9977",0.92,0.48,4,208,3,0,0,0,"support","low"
"10854",0.58,0.38,4,203,5,0,0,0,"sales","low"
"11829",0.42,0.96,6,173,3,0,0,0,"sales","medium"
"909",0.92,1,5,259,5,0,1,0,"IT","low"
"6532",0.62,0.89,3,201,3,0,0,0,"technical","medium"
"5660",0.93,0.82,5,272,3,0,0,0,"sales","high"
"12743",0.44,0.49,2,154,3,0,1,0,"support","low"
